budget,method,method_label,target_psnr,runs,hits,hit_rate,mean_iter,mean_seconds
all,structsplat_quadtree_wse_tensor_feature_rel,SS qt-WSE + tensor feature-rel cap,26.0,8,4,0.5,211.5,0.3969554305076599
all,structsplat_quadtree_wse_tensor_feature_rel,SS qt-WSE + tensor feature-rel cap,28.0,8,2,0.25,119,0.21661579608917236
all,structsplat_quadtree_wse_tensor_feature_rel,SS qt-WSE + tensor feature-rel cap,30.0,8,2,0.25,231.5,0.415350079536438
all,structsplat_quadtree_wse_tensor_feature_rel,SS qt-WSE + tensor feature-rel cap,32.0,8,2,0.25,425.5,0.7606112957000732
all,structsplat_quadtree_hybrid_tensor,SS qt-hybrid + tensor,22.0,8,8,1.0,97.375,0.18368172645568848
all,structsplat_quadtree_hybrid_tensor,SS qt-hybrid + tensor,24.0,8,8,1.0,244.875,0.41495272517204285
all,structsplat_quadtree_hybrid_tensor,SS qt-hybrid + tensor,26.0,8,4,0.5,211.75,0.4037902355194092
all,structsplat_quadtree_hybrid_tensor,SS qt-hybrid + tensor,28.0,8,2,0.25,124.5,0.2477813959121704
all,structsplat_quadtree_hybrid_tensor,SS qt-hybrid + tensor,30.0,8,2,0.25,253.5,0.469363808631897
all,structsplat_quadtree_hybrid_tensor,SS qt-hybrid + tensor,32.0,8,2,0.25,421,0.7662132978439331
all,floyd_steinberg_tensor,Floyd + tensor,22.0,8,8,1.0,130,0.22898706793785095
all,floyd_steinberg_tensor,Floyd + tensor,24.0,8,6,0.75,202.33333333333334,0.3487298885981242
all,floyd_steinberg_tensor,Floyd + tensor,26.0,8,4,0.5,255.25,0.4482612609863281
all,floyd_steinberg_tensor,Floyd + tensor,28.0,8,2,0.25,172.5,0.3266277313232422
all,floyd_steinberg_tensor,Floyd + tensor,30.0,8,2,0.25,295,0.5038613080978394
all,floyd_steinberg_tensor,Floyd + tensor,32.0,8,2,0.25,479.5,0.7899587154388428
640,structsplat_best_default,SS best default,22.0,8,8,1.0,92.375,0.23704737424850464
640,structsplat_best_default,SS best default,24.0,8,8,1.0,229.125,0.4716671109199524
640,structsplat_best_default,SS best default,26.0,8,4,0.5,199.25,0.5306881666183472
640,structsplat_best_default,SS best default,28.0,8,2,0.25,107.5,0.20040547847747803
640,structsplat_best_default,SS best default,30.0,8,2,0.25,197.5,0.31891727447509766
640,structsplat_best_default,SS best default,32.0,8,2,0.25,323,0.5335519313812256
640,structsplat_best_ssim010,SS best + SSIM 0.10,22.0,8,8,1.0,92.875,0.17251139879226685
640,structsplat_best_ssim010,SS best + SSIM 0.10,24.0,8,8,1.0,232.25,0.3927496373653412
640,structsplat_best_ssim010,SS best + SSIM 0.10,26.0,8,4,0.5,200.5,0.3438151478767395
640,structsplat_best_ssim010,SS best + SSIM 0.10,28.0,8,2,0.25,108,0.19743573665618896
640,structsplat_best_ssim010,SS best + SSIM 0.10,30.0,8,2,0.25,202,0.33379948139190674
