budget,method,method_label,target_psnr,runs,hits,hit_rate,mean_iter,mean_seconds
5000,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,35.0,4,1,0.25,1247,4.395676374435425
5000,structsplat_onedge_tensor,SS on-edge + tensor,22.0,4,4,1.0,191.75,0.8253045082092285
5000,structsplat_onedge_tensor,SS on-edge + tensor,24.0,4,3,0.75,65,0.39056817690531415
5000,structsplat_onedge_tensor,SS on-edge + tensor,26.0,4,3,0.75,437.3333333333333,1.52415132522583
5000,structsplat_onedge_tensor,SS on-edge + tensor,28.0,4,2,0.5,175,0.6833099126815796
5000,structsplat_onedge_tensor,SS on-edge + tensor,30.0,4,2,0.5,471.5,1.9808459281921387
5000,structsplat_onedge_tensor,SS on-edge + tensor,32.0,4,1,0.25,580,2.0959177017211914
5000,structsplat_onedge_tensor,SS on-edge + tensor,35.0,4,1,0.25,1329,4.813413619995117
5000,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,22.0,4,4,1.0,320.75,1.036628544330597
5000,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,24.0,4,3,0.75,72.33333333333333,0.36629096666971844
5000,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,26.0,4,2,0.5,41.5,0.2335735559463501
5000,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,28.0,4,2,0.5,195,0.6690497398376465
5000,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,30.0,4,2,0.5,557,1.7661166191101074
5000,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,32.0,4,1,0.25,930,2.7192111015319824
5000,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,35.0,4,0,0.0,,
5000,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,22.0,4,4,1.0,242.75,1.0524268746376038
5000,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,24.0,4,3,0.75,63.666666666666664,0.38281671206156415
5000,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,26.0,4,3,0.75,438,1.3981835842132568
