image,source_path,height,width,max_side,strategy,init_strategy,sampling_mode,fit_control,relocate_every,relocate_count,iters,target_psnr,target_psnrs,render_chunk,renderer,pixel_loss,ssim_weight,compute_lpips,budget,seed,flank_offset_frac,flat_frac,corner_frac,max_axis_ratio,coherence_power,psnr,ssim,ms_ssim,lpips,iters_to_target,n_gaussians,init_seconds,fit_seconds
kodim10,results/datasets/abl004/kodak24/kodim10.png,768,512,768,iso_blue_noise,iso_blue_noise,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,35.41,0.93063,0.98662,,490,5000,0.9182777404785156,27.891648054122925
kodim10,results/datasets/abl004/kodak24/kodim10.png,768,512,768,aniso_onedge,aniso_onedge,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,35.5458,0.93276,0.98649,,342,5000,1.2931175231933594,31.018057346343994
kodim10,results/datasets/abl004/kodak24/kodim10.png,768,512,768,aniso_flanking,aniso_flanking,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.5,0.02,0.15,6.0,1.0,35.5456,0.93228,0.98636,,383,5000,2.575516939163208,29.928314685821533
kodim10,results/datasets/abl004/kodak24/kodim10.png,768,512,768,quadtree_aggregate,quadtree_aggregate,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,35.179,0.93107,0.98572,,538,5000,0.23172736167907715,29.911616325378418
kodim10,results/datasets/abl004/kodak24/kodim10.png,768,512,768,quadtree_hybrid,quadtree_hybrid,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,35.7997,0.93475,0.9872,,325,5000,1.1655323505401611,30.005452871322632
kodim10,results/datasets/abl004/kodak24/kodim10.png,768,512,768,quadtree_wse,quadtree_wse,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,35.1152,0.93302,0.98562,,328,5000,2.3437414169311523,27.333983659744263
kodim10,results/datasets/abl004/kodak24/kodim10.png,768,512,768,floyd_steinberg,aniso_flanking,floyd_steinberg,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.5,0.02,0.15,6.0,1.0,34.9365,0.93122,0.98542,,419,5000,0.5154585838317871,28.290766716003418
kodim10,results/datasets/abl004/kodak24/kodim10.png,768,512,768,density_random,iso_blue_noise,density_random,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,34.5861,0.92695,0.98397,,,5000,0.07035088539123535,28.834309339523315
kodim10,results/datasets/abl004/kodak24/kodim10.png,768,512,768,random_relocate,random,wse,relocate,750,64,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,32.7193,0.92111,0.98359,,,5000,0.003545999526977539,31.673667907714844
kodim13,results/datasets/abl004/kodak24/kodim13.png,512,768,768,random,random,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,19.4009,0.48794,0.79124,,,2000,0.002454996109008789,24.357542753219604
kodim13,results/datasets/abl004/kodak24/kodim13.png,512,768,768,grid,grid,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,19.5224,0.49667,0.80006,,,2000,0.0035858154296875,23.089319705963135
