image,source_path,height,width,max_side,strategy,init_strategy,sampling_mode,fit_control,relocate_every,relocate_count,iters,target_psnr,target_psnrs,render_chunk,renderer,color_solve_every,color_solve_lambda,color_solve_maxiter,early_exit,early_exit_window,early_exit_min_delta,early_exit_min_iters,pixel_loss,ssim_weight,compute_lpips,budget,seed,flank_offset_frac,flat_frac,corner_frac,max_axis_ratio,coherence_power,psnr,ssim,ms_ssim,lpips,auc_psnr,auc_psnr_horizon,iters_to_target,n_gaussians,iterations_run,stopped_early,stopped_at,init_seconds,fit_seconds
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,quadtree_hybrid,quadtree_hybrid,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,30.1762,0.8078,0.93364,,29.820376874606875,observed,,2000,1500,False,,0.2840580940246582,4.698779821395874
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,quadtree_hybrid,quadtree_hybrid,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.0,0.02,0.15,6.0,1.0,29.9498,0.80729,0.93352,,29.8405161661017,observed,,2000,1500,False,,0.2848496437072754,4.679370403289795
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,quadtree_wse,quadtree_wse,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,29.8391,0.80797,0.93227,,29.864653643963734,observed,,2000,1500,False,,0.6236703395843506,4.584714889526367
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,quadtree_wse,quadtree_wse,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.0,0.02,0.15,6.0,1.0,30.0914,0.80793,0.93184,,29.84980278193275,observed,,2000,1500,False,,0.6293683052062988,4.563766956329346
kodim05,results/datasets/abl004/kodak24/kodim05.png,512,768,768,aniso_flanking,aniso_flanking,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.5,0.02,0.15,6.0,1.0,21.2404,0.63796,0.8402,,21.85861329796952,observed,,2000,1500,False,,0.30812978744506836,4.448874473571777
kodim05,results/datasets/abl004/kodak24/kodim05.png,512,768,768,aniso_flanking,aniso_flanking,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.5,0.02,0.15,6.0,1.0,21.0275,0.63479,0.83827,,21.612650127550854,observed,,2000,1500,False,,0.30474853515625,5.096613883972168
kodim05,results/datasets/abl004/kodak24/kodim05.png,512,768,768,aniso_onedge,aniso_onedge,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,20.9307,0.62865,0.83787,,21.86164581879049,observed,,2000,1500,False,,0.3136732578277588,4.5956995487213135
kodim05,results/datasets/abl004/kodak24/kodim05.png,512,768,768,aniso_onedge,aniso_onedge,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.0,0.02,0.15,6.0,1.0,21.4419,0.64223,0.84869,,21.91745241711027,observed,,2000,1500,False,,0.29815006256103516,4.713785171508789
kodim05,results/datasets/abl004/kodak24/kodim05.png,512,768,768,floyd_steinberg,aniso_flanking,floyd_steinberg,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.5,0.02,0.15,6.0,1.0,18.1677,0.58324,0.78492,,19.69512889510874,observed,,2000,1500,False,,0.39486145973205566,4.98603892326355
kodim05,results/datasets/abl004/kodak24/kodim05.png,512,768,768,floyd_steinberg,aniso_flanking,floyd_steinberg,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.5,0.02,0.15,6.0,1.0,19.0856,0.60243,0.8069,,19.899165439160367,observed,,2000,1500,False,,0.38677263259887695,5.096825838088989
kodim05,results/datasets/abl004/kodak24/kodim05.png,512,768,768,iso_blue_noise,iso_blue_noise,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,20.8431,0.622,0.83562,,21.45334881890051,observed,,2000,1500,False,,0.23139286041259766,5.039220094680786
kodim05,results/datasets/abl004/kodak24/kodim05.png,512,768,768,iso_blue_noise,iso_blue_noise,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.0,0.02,0.15,6.0,1.0,20.3948,0.61879,0.82666,,21.25016802100041,observed,,2000,1500,False,,0.23634958267211914,4.841943740844727
kodim05,results/datasets/abl004/kodak24/kodim05.png,512,768,768,quadtree_hybrid,quadtree_hybrid,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,21.5233,0.64765,0.85638,,21.864413680037792,observed,,2000,1500,False,,0.29631495475769043,5.139845609664917
kodim05,results/datasets/abl004/kodak24/kodim05.png,512,768,768,quadtree_hybrid,quadtree_hybrid,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.0,0.02,0.15,6.0,1.0,21.3916,0.63778,0.84963,,21.804049738730647,observed,,2000,1500,False,,0.26760053634643555,4.579966306686401
kodim05,results/datasets/abl004/kodak24/kodim05.png,512,768,768,quadtree_wse,quadtree_wse,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,21.4366,0.63959,0.8416,,21.82109334168234,observed,,2000,1500,False,,0.6700105667114258,5.1598451137542725
kodim05,results/datasets/abl004/kodak24/kodim05.png,512,768,768,quadtree_wse,quadtree_wse,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.0,0.02,0.15,6.0,1.0,20.9638,0.63187,0.83312,,21.750657766162753,observed,,2000,1500,False,,0.6600584983825684,4.741452217102051
kodim06,results/datasets/abl004/kodak24/kodim06.png,512,768,768,aniso_flanking,aniso_flanking,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.5,0.02,0.15,6.0,1.0,25.0103,0.71547,0.87856,,25.083989459566467,observed,,2000,1500,False,,0.3443284034729004,5.391769886016846
kodim06,results/datasets/abl004/kodak24/kodim06.png,512,768,768,aniso_flanking,aniso_flanking,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.5,0.02,0.15,6.0,1.0,25.1083,0.71826,0.87718,,24.99621572615386,observed,,2000,1500,False,,0.3341693878173828,5.137331008911133
kodim06,results/datasets/abl004/kodak24/kodim06.png,512,768,768,aniso_onedge,aniso_onedge,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,25.2076,0.72277,0.87942,,25.12637511438493,observed,,2000,1500,False,,0.3249211311340332,5.15714168548584
kodim06,results/datasets/abl004/kodak24/kodim06.png,512,768,768,aniso_onedge,aniso_onedge,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.0,0.02,0.15,6.0,1.0,25.0342,0.7179,0.87795,,24.969490632126536,observed,,2000,1500,False,,0.3256511688232422,4.809872627258301
