image,budget,seed,strategy,psnr_arm,ms_ssim_arm,edge_mae_arm,auc_psnr_arm,fit_seconds_arm,total_seconds_arm,iterations_run_arm,init_seconds_arm,psnr_single,ms_ssim_single,edge_mae_single,auc_psnr_single,fit_seconds_single,total_seconds_single,iterations_run_single,init_seconds_single,d_psnr,d_ms_ssim,d_edge_mae,d_auc_psnr,d_fit_seconds,d_total_seconds,d_iterations_run,d_init_seconds,arm
kodim19,5000,0,aniso_onedge,31.4244,0.96467,0.025394,28.9541625420067,12.242550373077393,13.058610200881958,3000,0.8160598278045654,30.045,0.95238,0.027299,29.83786584537295,6.12729287147522,7.164724349975586,1500,1.0310263633728027,1.3793999999999969,0.012290000000000023,-0.0019050000000000004,-0.88370330336625,6.115257501602173,5.893885850906372,1500,-0.2149665355682373,pyramid_fullfield_iters
kodim19,5000,0,quadtree_wse,31.36,0.96374,0.025686,28.61987303033913,11.740055799484251,13.052817344665527,3000,1.3127615451812744,30.2945,0.95355,0.026776,30.03922332422665,6.180785179138184,7.478650093078613,1500,1.2917628288269043,1.0655000000000001,0.010190000000000032,-0.0010900000000000007,-1.419350293887522,5.559270620346068,5.574167251586914,1500,0.020998716354370117,pyramid_fullfield_iters
kodim01,2000,0,aniso_onedge,24.1362,0.89063,0.060218,22.687066508261974,5.147613048553467,5.467252254486084,1500,0.3196392059326172,23.7503,0.87658,0.06031,23.605956143741214,5.294164419174194,6.168208360671997,1500,0.3555405139923095,0.38589999999999947,0.014050000000000007,-9.20000000000018e-05,-0.9188896354792391,-0.14655137062072754,-0.7009561061859131,0,-0.03590130805969233,pyramid_split_1500
kodim01,2000,0,quadtree_wse,23.7373,0.88002,0.061619,22.445425908990188,4.969363689422607,5.66556715965271,1500,0.6962034702301025,23.5556,0.87046,0.060476,23.61961273195904,5.038330793380737,5.772238969802856,1500,0.7285842895507812,0.18170000000000286,0.009560000000000013,0.0011429999999999982,-1.1741868229688528,-0.06896710395812988,-0.1066718101501456,0,-0.03238081932067871,pyramid_split_1500
kodim01,5000,0,aniso_onedge,26.293,0.94454,0.04583,24.468254164427897,5.119870185852051,5.970786094665527,1500,0.8509159088134766,25.5663,0.92724,0.046787,25.429016622246863,4.64297342300415,5.516396999359131,1500,0.8697187900543213,0.726700000000001,0.017300000000000093,-0.0009569999999999995,-0.9607624578189657,0.4768967628479004,0.4543890953063965,0,-0.018802881240844727,pyramid_split_1500
kodim01,5000,0,quadtree_wse,26.0797,0.9416,0.046198,24.409721141023745,5.1878955364227295,6.660300731658936,1500,1.472405195236206,25.4443,0.92602,0.047108,25.4952709154736,4.752824306488037,6.3940370082855225,1500,1.6373190879821775,0.6354000000000006,0.015580000000000038,-0.0009099999999999941,-1.0855497744498557,0.4350712299346924,0.266263723373414,0,-0.16491389274597146,pyramid_split_1500
kodim07,2000,0,aniso_onedge,27.7158,0.95996,0.037306,26.40125443316683,5.254045009613037,5.549288749694824,1500,0.2952437400817871,25.6996,0.9395,0.039506,27.554972610448186,4.873820781707764,5.180243253707886,1500,0.3026084899902344,2.0162000000000013,0.020460000000000034,-0.0022000000000000006,-1.1537181772813554,0.38022422790527344,0.3690454959869385,0,-0.007364749908447266,pyramid_split_1500
kodim07,2000,0,quadtree_wse,29.8606,0.9709,0.03413,26.806940389840584,4.869863271713257,5.592299699783325,1500,0.7224364280700684,25.4897,0.93821,0.039455,27.739478468179225,4.683631181716919,5.391913414001465,1500,0.7042114734649658,4.3709000000000024,0.03269,-0.005324999999999996,-0.9325380783386414,0.1862320899963379,0.20038628578186035,0,0.01822495460510254,pyramid_split_1500
kodim07,5000,0,aniso_onedge,34.0212,0.98974,0.020759,30.264150437551628,5.374202728271484,6.274491786956787,1500,0.9002890586853027,32.6475,0.98555,0.019218,33.00327685358049,4.837054252624512,5.783649682998657,1500,0.9428839683532716,1.3736999999999995,0.004189999999999916,0.0015410000000000007,-2.73912641602886,0.5371484756469727,0.4908421039581299,0,-0.04259490966796886,pyramid_split_1500
kodim07,5000,0,quadtree_wse,34.5329,0.99033,0.019536,30.24234741572303,5.4842681884765625,7.052940607070923,1500,1.5686724185943604,33.3024,0.98652,0.019556,33.19543841682012,4.933730363845825,6.480473279953003,1500,1.5417728424072266,1.2304999999999993,0.003810000000000091,-1.9999999999999185e-05,-2.9530910010970857,0.5505378246307373,0.5724673271179199,0,0.02689957618713379,pyramid_split_1500
kodim13,2000,0,aniso_onedge,20.5919,0.81709,0.094991,19.721924434430285,5.346482038497925,5.639872074127197,1500,0.2933900356292724,20.2951,0.79866,0.095207,20.46915054321289,5.258689880371094,5.549558877944946,1500,0.2858781814575195,0.2967999999999975,0.018429999999999946,-0.00021599999999999397,-0.7472261087826055,0.08779215812683105,0.09031319618225098,0,0.00751185417175293,pyramid_split_1500
kodim13,2000,0,quadtree_wse,20.6606,0.81784,0.094436,19.73753641508992,5.552552700042725,6.127247095108032,1500,0.5746943950653076,20.3094,0.79853,0.095377,20.4346803763137,4.99826979637146,5.582338333129883,1500,0.5792059898376465,0.3511999999999986,0.01931000000000005,-0.0009409999999999974,-0.6971439612237802,0.5542829036712646,0.5449087619781494,0,-0.004511594772338867,pyramid_split_1500
